date,Unnamed: 0,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe,Dominica,Belize,Antigua & Barbuda,Barbados,Costa Rica,Dominican Rep.,Greece,Malawi
2026-03,0.000000,39.121333,0.000000,0.000000,3.879136,3.678433,0.000000,0.000000,0.000000,1.234039,0.000000,211.853624,0.308510,7.097037,0.000000,0.000000,0.000000,0.000000,20.222704,157.883685,15.513683,7.529761,9.951928,0.000000,38.248959,26.805422,0.000000,257.545781,0.000000,0.000000,0.000000,39.012398,1506.117233,44.020590,0.050000,0.000000,0.000000,198.246608,0.177273,0.000000,0.000000,4.450225,1.287950,6.162522,1.494361,0.000000,0.000000,316.157871,5.608871,37.679769,7.255990,8786.487712,19.923443,420.097148,0.000000,4.191622,3.133207,0.000000,11.497229,1.413263,0.000000,0.000000,17.762016,4869.931313,0.000000,5.243333,2.206545,0.000000,1.560047,56.672093,0.138615,1.279749,90.388555,0.000000,0.000000,12.093821,76.026124,0.000000,2.497471,0.000000,0.000000,52.708142,123.752296,0.000000,100.214322,0.000000,1.231579,0.000000,0.000000,10.728131,0.000000,1.726883,0.000000,753.144465,1.885018,0.102011,0.000000,0.000000,0.000000,0.000000,654.707120,5.362500,18.066801,0.000000,0.000000,4903.992697,0.767997,4707.809872,0.756122,0.797541,6.447459,4.202795,8.329692,6.553756,2.983844,4.259463,0.000000,1.556579,0.000000,0.159911,0.783824,1.226966,73.569170,0.000000,0.000000,0.133191,0.512121,0.487500,2.351471,0.745520,2.511122,0.386486,0.772973
2026-04,1.300000,31.202261,0.000000,0.325000,6.222105,3.126281,0.000000,0.000000,0.000000,5.285309,0.000000,443.156661,1.321327,3.871111,0.000000,0.000000,0.000000,0.000000,7.508290,126.463182,15.210007,11.204314,-0.109497,0.000000,17.556391,11.971083,0.000000,194.239396,0.000000,0.000000,0.000000,3.590486,42.972238,21.202014,0.016250,0.000000,0.000000,268.196591,0.000000,0.000000,0.000000,1.127219,0.021402,1.837891,0.531866,0.000000,0.000000,98.414966,3.058295,57.054595,12.200956,6491.495383,17.482683,398.872866,0.000000,31.222838,3.826705,0.000000,17.897336,0.576074,0.000000,0.000000,1.834731,1648.507661,0.000000,0.731250,4.368403,0.000000,0.544575,108.899189,0.157645,0.490263,73.782181,0.000000,8.190000,43.300354,121.826721,0.000000,0.142397,0.000000,0.000000,54.218667,410.331371,0.000000,213.541686,0.000000,1.642105,0.000000,2.073500,7.458236,0.000000,2.972381,0.000000,2159.900016,0.986135,0.413438,0.000000,0.000000,0.000000,0.000000,290.257481,0.000000,12.823453,0.000000,0.000000,890.694612,0.109118,396.774808,1.950000,0.338329,0.000000,2.015546,3.158622,1.778904,1.399635,26.466913,0.000000,1.878647,0.000000,0.446053,0.932941,2.358942,76.995420,0.000000,0.000000,0.138723,0.689394,0.000000,2.798824,8.946237,2.061302,0.892432,1.784865
2026-05,2.600000,42.114222,0.000000,0.000000,4.124583,3.936620,0.000000,0.000000,0.000000,0.774873,0.000000,104.923109,0.193718,1.854907,0.000000,0.000000,0.000000,0.000000,1.413479,68.971290,7.710039,42.624242,6.305330,0.000000,52.578402,38.136501,0.000000,226.673406,0.000000,0.000000,0.000000,18.328675,66.688859,40.245660,0.856098,0.000000,0.000000,225.038858,0.838710,0.000000,0.000000,0.932222,0.250311,4.286664,0.382554,0.000000,0.000000,117.564111,3.880530,45.065524,13.296461,2157.806233,18.885317,24.110361,0.000000,0.024595,2.753906,0.000000,7.263611,0.020893,0.000000,0.000000,4.164469,5.462626,0.000000,2.593500,8.691277,0.000000,0.056643,61.350542,0.002470,6.485782,115.722446,0.000000,0.000000,35.942457,152.487010,0.000000,0.005188,0.000000,0.000000,735.488000,327.317445,0.000000,185.439750,0.000000,7.047368,0.000000,0.082105,14.775359,0.000000,1.442322,0.000000,1177.219737,0.269268,1.584267,0.000000,0.000000,0.000000,0.000000,373.527139,7.929034,36.870473,0.000000,0.000000,911.352524,0.282990,1352.133421,0.451020,1.022032,4.671118,8.564706,3.568344,1.821383,0.845528,33.763761,0.000000,1.279474,0.000000,0.820880,0.717185,1.226966,165.197099,0.000000,0.000000,0.111064,0.344697,8.450000,2.151555,450.666667,6.493157,0.702954,1.405907
2026-06,3.900000,105.820000,0.000000,1.950000,3.390461,1.542485,0.000000,0.000000,0.000000,5.715433,0.000000,284.137367,1.428858,1.451667,0.000000,0.000000,0.000000,0.000000,8.027982,256.782174,6.654017,15.600000,4.010738,0.000000,53.288843,16.577643,0.000000,299.053761,0.000000,0.000000,0.000000,6.855094,2158.540708,7.271334,0.000000,0.000000,0.000000,199.380419,0.125806,0.000000,0.000000,0.299499,0.524349,1.783225,0.118830,0.000000,0.000000,34.292022,5.220968,61.011737,5.313213,3881.720309,29.263995,153.809324,0.000000,0.000000,0.000000,0.000000,10.236956,0.371429,0.000000,0.000000,1.433103,2.731313,0.000000,0.255667,10.479120,0.000000,1.273469,99.714623,0.185191,2.152782,76.864841,0.000000,0.000000,42.448794,93.189647,0.000000,0.345941,0.000000,0.000000,371.291443,480.026198,0.000000,202.428054,0.000000,5.336842,0.000000,0.325000,10.449291,0.000000,0.421447,0.000000,112.078228,0.143854,0.781513,0.000000,0.000000,0.000000,0.000000,543.070317,0.000000,84.448813,0.000000,0.000000,540.506305,3.015515,483.047622,0.000000,0.619925,2.066071,10.642521,5.470046,2.245176,1.265207,88.651031,2.708333,0.316447,0.000000,0.499197,0.299055,4.876202,118.312508,0.000000,0.000000,0.087660,1.034091,0.162500,0.897164,0.093190,3.202211,0.122973,0.245946
2026-07,5.200000,42.328000,0.000000,0.000000,0.653061,1.262905,0.000000,0.000000,0.000000,2.180645,0.000000,206.926269,0.545161,32.259259,0.000000,0.000000,0.000000,0.000000,7.862741,71.914182,4.322087,13.000000,5.036402,0.000000,56.631634,26.237129,0.000000,141.206526,0.000000,0.000000,0.000000,3.838938,167.882040,33.506680,0.025000,0.000000,0.000000,206.777251,0.215184,0.000000,0.000000,7.580944,0.032103,2.025652,1.584137,0.000000,0.000000,139.667318,2.546083,58.426119,12.620449,3627.285851,24.295727,329.324483,0.000000,2.626351,0.000000,0.000000,7.829432,0.000000,0.000000,0.000000,2.796596,16.387879,0.000000,0.052000,4.019766,0.000000,0.035938,102.697095,0.023074,1.194985,122.292533,0.000000,2.123333,49.641667,183.381855,0.000000,0.202091,0.000000,0.000000,570.474667,359.335486,0.000000,268.905222,0.000000,12.110526,0.000000,0.000000,48.163579,0.000000,0.533752,0.000000,37.846936,0.772371,0.208333,0.000000,0.000000,0.000000,0.000000,248.203669,7.150000,74.637113,0.000000,0.000000,893.491071,0.832657,183.528792,53.950000,1.315187,0.232797,0.835714,12.698972,2.104205,1.315159,142.182470,0.000000,0.205263,0.000000,0.713630,0.000000,5.398652,261.500034,0.000000,0.000000,0.118723,1.693939,0.000000,0.000000,9.039427,5.976482,0.404054,0.808108
2026-08,6.500000,24.761043,0.000000,0.975000,2.630135,1.282219,0.000000,0.000000,0.000000,1.391172,0.000000,195.243393,0.347793,0.000000,0.000000,0.000000,0.000000,0.000000,3.550654,148.320719,6.315422,2.915152,2.619783,0.000000,91.006586,25.621112,0.000000,173.063112,0.000000,0.000000,0.000000,24.092879,310.477689,27.707367,0.008125,0.000000,0.000000,424.947094,4.011193,0.000000,0.000000,1.400399,0.042804,6.752227,0.508132,0.000000,0.000000,1.226966,10.334101,74.953160,8.419330,11416.197438,6.303480,175.446239,0.000000,2.354054,5.627210,0.000000,7.926804,0.000000,0.000000,0.000000,13.591263,2.731313,0.000000,0.348833,3.338452,0.000000,1.131303,97.585636,0.917167,1.536630,112.293395,0.000000,0.505556,70.398299,94.779620,0.000000,0.089308,0.000000,0.000000,223.672026,466.677012,0.000000,304.370265,0.000000,0.136842,0.000000,0.821053,20.486469,0.000000,0.320638,0.000000,1390.306764,0.616617,0.324074,0.000000,0.000000,0.000000,0.000000,164.658356,26.984898,38.067270,0.000000,0.000000,1333.191320,0.101099,71.582307,1.300000,0.530201,2.826818,2.785714,4.162424,1.929702,1.203104,67.592340,305.795455,0.000000,0.000000,1.711840,0.080495,8.588764,203.142604,0.000000,0.000000,0.011064,0.354545,0.325000,0.241486,9.285714,11.871719,0.351351,0.702703
2026-09,7.800000,63.064444,0.000000,0.975000,0.029576,1.128245,0.000000,0.000000,0.000000,3.903747,0.000000,463.971255,0.975937,6.532500,0.000000,0.000000,0.000000,0.000000,1.244146,87.145071,5.317238,1.941096,6.296074,0.000000,39.065724,19.577887,0.000000,73.735682,0.000000,0.000000,0.000000,35.680311,4097.864668,41.194007,0.000000,0.000000,0.000000,353.516266,3.193874,0.000000,0.000000,0.065903,0.000000,1.792459,0.117708,0.000000,0.000000,56.961377,0.092857,59.981388,17.360828,2268.355532,14.112077,313.938045,0.000000,44.203514,0.024621,0.000000,6.034302,0.013589,0.000000,0.000000,12.870435,0.000000,0.000000,5.305083,1.848994,0.000000,0.047900,88.864963,0.315391,2.718980,90.892271,0.000000,1.516667,110.859914,60.133760,0.000000,0.585404,0.000000,0.000000,592.331495,354.416406,0.000000,523.985566,0.000000,11.700000,0.000000,0.000000,20.801296,0.000000,0.389371,0.000000,842.414205,3.048865,0.163438,0.000000,0.000000,0.000000,0.000000,44.027091,0.108883,66.197650,0.000000,0.000000,1124.443695,0.301943,483.723535,0.000000,0.005987,0.000000,8.460924,3.863996,5.955533,0.290650,36.901009,0.000000,0.136842,0.000000,1.782531,0.000000,9.166626,149.494578,0.000000,0.000000,0.089787,0.137879,0.162500,0.000000,20.874552,15.602202,0.000000,0.000000
2026-10,9.100000,8.123556,0.000000,2.925000,0.913159,1.406149,0.000000,0.000000,0.000000,5.275001,0.000000,347.902941,1.318750,7.097037,0.000000,0.000000,0.000000,0.000000,6.745453,70.487509,12.136141,52.751111,13.544388,0.000000,46.277474,84.718939,0.000000,128.220204,0.000000,0.000000,0.000000,52.646327,8663.988029,50.399530,0.000000,0.000000,0.000000,561.397355,7.240437,0.000000,0.000000,2.395830,0.053505,0.810445,0.778952,0.000000,0.000000,49.920839,0.000000,65.047620,11.087194,259.062550,21.912530,173.189863,0.000000,3.255270,3.542377,0.000000,9.218166,0.417857,0.000000,0.000000,3.583164,2.731313,0.000000,0.648917,5.725977,0.000000,0.962423,67.004036,0.384939,1.002883,109.107536,0.000000,4.044444,88.025056,112.286653,0.000000,0.375538,0.000000,0.000000,193.896388,573.784819,0.000000,314.385946,0.000000,3.900000,0.000000,0.000000,8.142530,0.000000,0.295452,0.000000,165.352323,0.269490,1.672422,0.000000,0.000000,0.000000,0.000000,244.097410,0.046664,65.949095,0.000000,0.000000,1402.139000,0.362835,541.430621,0.650000,0.476000,0.698390,5.369328,6.870322,4.831888,0.594512,26.847750,305.795455,0.000000,0.000000,1.390061,0.000000,5.153258,142.774755,0.000000,0.000000,0.062128,0.226515,0.325000,0.000000,-0.093190,10.211122,0.000000,0.000000
2026-11,10.400000,11.544000,0.000000,0.325000,2.391549,0.129831,0.000000,0.000000,0.000000,20.572917,0.000000,1346.915901,5.143229,3.225926,0.000000,0.000000,0.000000,0.000000,2.487456,-50.938501,8.856416,1.733333,4.129989,0.000000,36.030130,18.070468,0.000000,128.788833,0.000000,0.000000,0.000000,43.263512,657.568602,12.786034,0.000000,0.000000,0.000000,275.253025,0.000000,0.000000,0.000000,1.263207,1.111376,1.149108,0.896081,0.000000,0.000000,31.281573,0.278571,51.966774,15.678339,2274.599887,3.463888,187.882392,0.000000,46.814054,0.024621,0.000000,20.276437,0.034821,0.000000,0.000000,10.455229,0.000000,0.000000,1.317333,0.538891,0.000000,1.099429,8.564397,0.098579,1.230146,110.970930,0.000000,4.044444,46.730668,66.617535,0.000000,1.444684,0.000000,0.000000,349.492226,391.893897,0.000000,290.190338,0.000000,120.900000,0.000000,0.000000,17.173632,0.000000,1.068152,0.000000,172.558366,0.309214,0.375694,0.000000,0.000000,0.000000,0.000000,535.426854,0.000000,50.742052,0.000000,0.000000,550.098786,0.003835,689.881643,0.000000,0.165050,0.232797,1.758824,2.026513,0.867686,0.805894,28.146289,611.590909,0.000000,0.000000,1.012645,0.000000,8.311707,101.677259,0.000000,0.000000,0.090532,0.679545,0.000000,0.000000,0.372760,7.351213,0.000000,0.000000
2026-12,11.700000,51.910821,0.000000,0.146250,0.854676,0.991976,0.000000,0.000000,0.000000,5.556452,0.000000,286.697794,1.389113,8.064815,0.000000,0.000000,0.000000,0.000000,4.390524,-35.164812,10.170454,4.175758,14.344956,0.000000,244.088433,10.623799,0.000000,129.106331,0.000000,0.000000,0.000000,52.961807,446.307851,61.018887,0.162500,0.000000,0.000000,216.088899,0.052525,0.000000,0.000000,1.106837,0.074907,2.067562,19.689046,0.000000,0.000000,65.255805,0.139286,54.394670,14.547820,386266.368076,12.874563,254.140895,0.000000,378.951757,5.274621,0.000000,6.998107,0.000000,0.000000,0.000000,13.095541,0.000000,0.000000,0.122417,0.889646,0.000000,1.628980,-6.348110,0.247687,0.432511,101.364514,0.000000,6.066667,66.160827,64.698057,0.000000,0.740945,0.000000,0.000000,203.325722,391.494131,0.000000,242.339541,0.000000,93.600000,0.000000,0.082105,24.881202,0.000000,0.316430,0.000000,186.602509,0.293538,1.235684,0.000000,0.000000,0.000000,0.000000,554.329019,7.181109,29.613489,0.000000,0.000000,443.433876,1.146104,317.197340,0.000000,0.214711,0.465594,0.824790,4.460510,1.282744,0.285057,71.328114,0.000000,0.017105,0.000000,0.897199,0.000000,1.686089,27.354412,0.000000,0.000000,0.076064,0.354545,0.000000,0.000000,-0.186380,12.465204,0.000000,0.000000
