date,Unnamed: 0,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Jamaica,Jordan,Kenya,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Rwanda,Saudi Arabia,Senegal,Sierra Leone,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Zambia
2026-01,0.000000,21.044206,0.000000,1.753319,7.370559,23.214442,0.000000,0.000000,0.000000,5.312055,0.000000,595.522391,1.328014,57.790159,0.000000,0.000000,0.000000,0.000000,67.654819,363.232843,14.892577,5.200000,52.639012,0.000000,25.919520,0.000000,77.081113,0.000000,0.000000,0.000000,0.000000,44.173644,0.308847,0.000000,0.000000,231.222522,0.445694,0.070188,0.000000,2.204512,4.649104,26.590613,0.917369,0.000000,0.000000,44.730527,2.487607,127.350322,43.225652,309.912169,26.061572,1594.574979,0.000000,1.877156,0.210563,14.040856,0.000000,0.000000,3.999604,57.953231,0.000000,0.478224,0.056875,0.346824,100.650384,0.845135,1.082496,445.158941,0.000000,0.000000,52.631151,0.000000,1.593081,0.000000,0.000000,109.490695,786.925312,580.695264,0.000000,55.028571,0.000000,0.341250,17.872554,0.000000,4.801119,0.000000,0.431004,0.248135,0.000000,0.000000,0.000000,147.728958,0.000000,0.000000,0.000000,824.608763,0.782143,6897.037389,2.658923,0.445417,68.497019,47.385346,5.420097,0.000000,5.472751,3.280320,6911.340492,0.000000,0.000000,3.799475,0.730223,12.162835,0.000000
2026-02,1.300000,12.592908,0.000000,0.725460,10.775510,8.839157,0.000000,0.000000,0.000000,7.579844,0.000000,516.196538,1.894961,0.553016,0.000000,0.000000,0.000000,0.000000,65.283614,264.796808,19.377230,4.308871,45.531811,0.000000,18.778262,0.000000,77.038506,0.000000,0.000000,0.000000,0.000000,47.542109,0.000437,0.000000,0.000000,234.529243,7.646457,0.101345,0.000000,1.729879,4.777857,0.877151,0.236135,0.000000,0.000000,37.299551,4.988026,72.608557,58.679272,148.515556,17.121237,1072.494180,0.000000,1.671833,0.304034,15.980722,0.000000,0.000000,0.638796,351.761198,0.000000,0.219312,0.891042,1.066326,107.596394,0.137641,0.174868,396.207476,0.000000,0.492509,96.850008,0.000000,0.256302,0.000000,0.000000,257.645680,891.306345,335.117727,0.000000,43.600000,0.000000,0.068421,16.103652,0.000000,0.764961,0.000000,0.000000,0.361555,0.000000,0.000000,0.000000,334.321206,0.000000,0.000000,0.000000,611.819863,0.075000,120.900000,0.096751,1.140435,43.302737,78.114706,12.014979,0.000000,1.984653,18.746304,7760.759804,0.000000,0.000000,0.895298,0.107835,8.690863,0.000000
2026-03,2.600000,45.615445,0.000000,0.243750,11.000210,8.512808,0.000000,0.000000,0.000000,1.019328,0.000000,361.941574,0.254832,2.765079,0.000000,0.000000,0.000000,0.000000,60.441826,231.380599,8.585400,3.973387,42.397088,0.000000,23.067170,0.000000,62.053340,0.000000,0.000000,0.000000,0.000000,32.350237,0.033913,0.000000,0.000000,211.815676,8.634456,0.219465,0.000000,0.734835,2.993764,15.187506,0.521985,0.000000,0.000000,13.933054,1.137500,56.984936,11.884204,303.562595,49.219779,1053.672612,0.000000,0.163780,0.658394,11.696099,0.000000,0.000000,0.358839,40.356145,0.000000,0.712446,0.028437,1.100812,110.356961,0.061862,0.459173,342.069857,0.000000,0.077656,82.067498,0.000000,0.149513,0.000000,0.000000,158.971368,1260.985179,255.749100,0.000000,106.000000,0.000000,1.830833,14.684523,0.000000,0.430607,0.000000,0.023297,1.167227,0.000000,0.000000,0.000000,321.781200,2.681250,0.000000,0.000000,611.706316,6.500000,134.051667,0.653457,0.380410,62.080279,3.465444,33.402417,0.000000,0.805200,23.610869,6952.645398,0.000000,0.000000,0.482252,0.341207,3.424020,0.000000
2026-04,3.900000,78.132623,0.000000,0.000000,10.815473,1.988781,0.000000,0.000000,0.000000,5.239315,0.000000,269.884439,1.309829,10.023413,0.000000,0.000000,0.000000,0.000000,27.411075,355.357677,5.077342,59.800000,48.127659,0.000000,15.213846,0.000000,54.171540,0.000000,0.000000,0.000000,0.000000,89.172763,0.000437,0.000000,0.000000,349.348552,0.750000,0.018471,0.000000,1.185506,4.587313,3.195717,0.137351,0.000000,0.000000,22.454933,1.076563,41.608291,35.114694,6.735442,77.124714,825.531081,0.000000,0.000000,0.055414,12.846033,0.000000,0.000000,0.701751,164.775601,0.000000,0.253614,2.758438,0.093483,94.934876,0.138259,0.063208,473.359313,0.000000,1.201608,56.581969,0.000000,0.280701,0.000000,0.000000,91.635844,1236.826753,443.796436,0.000000,33.600000,0.000000,0.000000,14.887898,0.000000,0.842102,0.000000,0.084967,0.495991,0.000000,0.000000,0.000000,327.887704,30.495536,0.000000,0.000000,957.407300,0.000000,120.900000,0.117059,0.230683,33.465381,5.675990,3.498535,0.000000,0.737540,59.980207,14395.170759,0.000000,0.000000,1.004796,0.223410,1.759769,0.000000
2026-05,5.200000,43.603985,0.000000,0.000000,6.148658,3.841829,0.000000,0.000000,0.000000,7.582094,0.000000,559.903604,1.895523,6.912698,0.000000,0.000000,0.000000,0.000000,100.685772,351.471064,21.108965,11.871404,58.991439,0.000000,29.118633,0.000000,57.858208,0.000000,0.000000,0.000000,0.000000,36.819341,0.238333,0.000000,0.000000,400.906412,0.575063,0.044194,0.000000,0.805595,0.732475,3.636985,0.497951,0.000000,0.000000,409.739402,3.916217,41.661594,22.830546,7.865722,32.790150,767.339767,0.000000,0.007271,0.132582,11.496371,0.000000,0.000000,1.273969,212.139357,0.000000,0.921632,0.938437,0.124259,137.867100,0.269491,0.986595,434.576992,0.000000,0.903500,41.995742,0.000000,0.509588,0.000000,0.000000,85.066838,1334.421752,299.731847,0.000000,54.800000,0.000000,0.944211,11.258401,0.000000,1.528763,0.000000,0.000000,0.431944,0.000000,0.000000,0.000000,208.746178,40.575462,0.000000,0.000000,829.914607,0.202232,1699.100000,0.656083,1.380549,13.824456,3.701020,144.224437,0.000000,0.818266,95.449331,7721.018478,0.000000,0.000000,1.051660,0.113341,1.673935,0.000000
2026-06,6.500000,99.564405,0.000000,1.998750,6.255383,4.007069,0.000000,0.000000,0.000000,7.940514,0.000000,1530.656758,1.985128,3.871111,0.000000,0.000000,0.000000,0.000000,59.371614,366.236868,17.288690,10.562500,47.019911,0.000000,20.529262,0.000000,58.373939,0.000000,0.000000,0.000000,0.000000,29.452970,0.000000,0.000000,0.000000,339.655777,1.202443,0.045211,0.000000,2.546298,4.527656,11.198871,0.198405,0.000000,0.000000,660.957828,4.322942,39.466568,34.463156,169.523467,18.019088,942.529031,0.000000,0.010943,0.135633,25.262498,0.000000,0.000000,1.055817,40.650923,0.000000,0.098800,0.000000,0.389784,118.477142,0.208045,5.435738,346.047399,0.000000,0.478068,46.137502,0.000000,0.422327,0.000000,0.000000,154.284827,1505.128447,387.107858,0.000000,150.400000,0.000000,0.000000,16.600329,0.000000,1.266981,0.000000,0.158971,0.122222,0.000000,0.000000,0.000000,357.925497,56.866071,0.000000,0.000000,1675.776627,1.166518,223.826087,48.823100,0.336145,91.430351,1.114286,7.187736,0.000000,2.253586,45.614244,5508.624203,0.000000,0.000000,1.443013,0.204060,2.477869,0.000000
2026-07,7.800000,45.631956,0.000000,0.747500,8.886782,1.912905,0.000000,0.000000,0.000000,14.361765,0.000000,1378.933734,3.590441,27.650794,0.000000,0.000000,0.000000,0.000000,56.184146,496.684183,6.496094,2.925000,42.831450,0.000000,61.413210,0.000000,107.433019,0.000000,0.000000,0.000000,0.000000,64.229513,0.111429,0.000000,0.000000,323.312678,3.026768,0.118880,0.000000,0.635613,0.928077,3.969402,1.348685,0.000000,0.000000,25.119475,10.578187,32.121389,9.976628,678.427420,15.796500,1258.035118,0.000000,0.221032,0.356640,14.516151,0.000000,0.000000,2.124524,40.776514,0.000000,0.663932,1.365000,0.073631,98.545229,0.437571,4.895232,438.832955,0.000000,0.103311,39.100470,0.000000,0.840276,0.000000,0.000000,73.201324,1702.769563,265.663830,0.000000,36.000000,0.000000,0.000000,15.604048,0.000000,3.252326,0.000000,0.000000,0.603618,0.000000,0.000000,0.000000,477.015729,18.886607,0.000000,0.000000,944.060471,1.497321,184.881081,2.299202,0.644219,11.919195,6.789496,0.024826,0.000000,1.259772,25.592198,5781.997178,0.000000,0.000000,2.048566,0.850876,5.767752,0.000000
2026-08,9.100000,49.592768,0.000000,4.598750,4.559219,6.411310,0.000000,0.000000,0.000000,13.476861,0.000000,1328.838115,3.369215,8.640873,0.000000,0.000000,0.000000,0.000000,95.979494,393.269667,18.407699,7.475000,42.380852,0.000000,45.537611,0.000000,90.392723,0.000000,0.000000,0.000000,0.000000,39.309625,0.214215,0.000000,0.000000,332.889011,0.626615,0.142908,0.000000,0.685570,2.369215,2.250281,0.255422,0.000000,0.000000,63.619513,7.420096,65.191079,9.559734,319.932764,23.175644,1082.273145,0.000000,0.031054,0.428725,13.450053,0.000000,0.000000,1.816832,115.690581,0.000000,1.191074,1.165937,0.462334,124.958136,0.425101,1.236336,357.635085,0.000000,1.049297,49.357564,0.000000,0.474667,0.000000,0.000000,242.281668,1093.359959,583.675698,0.000000,48.400000,0.000000,0.000000,24.380205,0.000000,1.645853,0.000000,0.264038,0.087134,0.000000,0.000000,0.000000,260.586744,6.939363,0.000000,0.000000,331.875374,2.193750,120.900000,1.327660,0.539959,31.301571,5.369328,0.744792,0.000000,1.092361,18.449347,6195.841509,0.000000,0.000000,1.753484,0.369972,0.916123,0.000000
2026-09,10.400000,45.674891,0.000000,1.300000,23.818302,3.940973,0.000000,0.000000,0.000000,18.043079,0.000000,2127.040500,4.510770,4.977143,0.000000,0.000000,0.000000,0.000000,80.437502,453.372604,14.873774,0.812500,31.265602,0.000000,814.124435,0.000000,63.011852,0.000000,0.000000,0.000000,0.000000,74.243520,1.489247,0.000000,0.000000,264.427796,1.386077,0.237424,0.000000,1.792650,0.635475,1.636343,0.283904,0.000000,0.000000,52.920877,2.390720,37.950066,9.820690,27.151179,15.128773,785.522616,0.000000,0.023685,0.712271,20.548636,0.000000,0.000000,3.958081,246.487247,0.000000,1.600773,0.824688,0.001770,148.442535,0.793143,4.413448,363.950027,0.000000,0.149735,45.762971,0.000000,1.787781,0.000000,0.000000,229.372677,1212.073124,377.923155,0.000000,80.000000,0.000000,0.068421,16.885286,0.000000,4.853697,0.000000,0.065781,0.460139,0.000000,0.000000,0.000000,153.354467,3.939240,0.000000,0.000000,457.114634,0.869196,669.839130,4.029654,0.100748,20.695634,3.907803,8.437000,0.000000,20.775599,19.199362,5089.517806,0.000000,0.000000,0.477746,0.139766,3.021442,0.000000
2026-10,11.700000,66.556945,0.000000,9.188534,8.371140,10.175240,0.000000,0.000000,0.000000,18.867093,0.000000,2156.859066,4.716773,3.871111,0.000000,0.000000,0.000000,0.000000,61.255449,379.386300,17.018415,2.925000,40.493873,0.000000,15.269193,0.000000,120.893508,0.000000,0.000000,0.000000,0.000000,79.774583,0.000000,0.000000,0.000000,377.387231,0.748139,0.032305,0.000000,43.388405,2.433950,5.969117,0.341453,0.000000,0.000000,54.709475,2.579687,35.366756,10.432694,385.771363,18.428294,522.207032,0.000000,0.030956,0.096914,19.470360,0.000000,0.000000,1.305354,200.217838,0.000000,0.360488,0.000000,0.173412,111.026840,0.262364,4.248921,289.533131,0.000000,0.423290,39.071011,0.000000,0.478462,0.000000,0.000000,245.426064,1262.670171,711.933966,0.000000,93.600000,0.000000,0.000000,15.899902,0.000000,1.305564,0.000000,0.116487,2.149744,0.000000,0.000000,0.000000,139.991970,6.558271,0.000000,0.000000,1024.163544,0.301339,120.900000,0.210627,0.195556,3.062196,0.824790,2.478667,0.000000,2.599036,47.772415,6974.007603,0.000000,0.000000,1.051365,0.210198,16.813553,0.000000
