date,Unnamed: 0,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Jamaica,Jordan,Kenya,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Rwanda,Saudi Arabia,Senegal,Sierra Leone,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Zambia
2026-01,0.000000,11.331496,0.000000,0.944095,3.968762,12.500084,0.000000,0.000000,0.000000,2.860337,0.000000,320.665903,0.715084,31.117778,0.000000,0.000000,0.000000,0.000000,36.429518,195.586915,8.019080,2.800000,28.344083,0.000000,13.956665,0.000000,41.505214,0.000000,0.000000,0.000000,0.000000,23.785808,0.166302,0.000000,0.000000,124.504435,0.239989,0.037793,0.000000,1.187045,2.503364,14.318022,0.493968,0.000000,0.000000,24.085669,1.339481,68.573250,23.275351,166.875783,14.033154,858.617297,0.000000,1.010776,0.113380,7.560461,0.000000,0.000000,2.153633,31.205586,0.000000,0.257505,0.030625,0.186751,54.196360,0.455073,0.582882,239.700968,0.000000,0.000000,28.339851,0.000000,0.857813,0.000000,0.000000,58.956528,423.729014,312.682065,0.000000,29.630769,0.000000,0.183750,9.623683,0.000000,2.585218,0.000000,0.232079,0.133611,0.000000,0.000000,0.000000,79.546362,0.000000,0.000000,0.000000,444.020103,0.421154,3713.789363,1.431728,0.239840,36.883010,25.515186,2.918514,0.000000,2.946866,1.766326,3721.491034,0.000000,0.000000,2.045871,0.393197,6.549219,0.000000
2026-02,0.700000,6.780797,0.000000,0.390632,5.802197,4.759546,0.000000,0.000000,0.000000,4.081455,0.000000,277.951982,1.020364,0.297778,0.000000,0.000000,0.000000,0.000000,35.152715,142.582897,10.433893,2.320161,24.517129,0.000000,10.111372,0.000000,41.482273,0.000000,0.000000,0.000000,0.000000,25.599597,0.000236,0.000000,0.000000,126.284977,4.117323,0.054570,0.000000,0.931473,2.572692,0.472312,0.127150,0.000000,0.000000,20.084374,2.685860,39.096915,31.596531,79.969915,9.219128,577.496866,0.000000,0.900218,0.163710,8.605004,0.000000,0.000000,0.343967,189.409876,0.000000,0.118091,0.479792,0.574176,57.936520,0.074114,0.094160,213.342487,0.000000,0.265197,52.150004,0.000000,0.138009,0.000000,0.000000,138.732289,479.934186,180.448007,0.000000,23.476923,0.000000,0.036842,8.671197,0.000000,0.411902,0.000000,0.000000,0.194683,0.000000,0.000000,0.000000,180.019111,0.000000,0.000000,0.000000,329.441464,0.040385,65.100000,0.052097,0.614081,23.316858,42.061765,6.469604,0.000000,1.068659,10.094164,4178.870664,0.000000,0.000000,0.482084,0.058065,4.679696,0.000000
2026-03,1.400000,24.562163,0.000000,0.131250,5.923190,4.583820,0.000000,0.000000,0.000000,0.548869,0.000000,194.891617,0.137217,1.488889,0.000000,0.000000,0.000000,0.000000,32.545599,124.589553,4.622908,2.139516,22.829201,0.000000,12.420784,0.000000,33.413337,0.000000,0.000000,0.000000,0.000000,17.419358,0.018261,0.000000,0.000000,114.054595,4.649322,0.118173,0.000000,0.395680,1.612027,8.177888,0.281069,0.000000,0.000000,7.502414,0.612500,30.684196,6.399187,163.456782,26.502958,567.362175,0.000000,0.088189,0.354520,6.297900,0.000000,0.000000,0.193221,21.730232,0.000000,0.383625,0.015312,0.592745,59.422979,0.033310,0.247247,184.191461,0.000000,0.041815,44.190191,0.000000,0.080507,0.000000,0.000000,85.599968,678.992019,137.711054,0.000000,57.076923,0.000000,0.985833,7.907051,0.000000,0.231865,0.000000,0.012545,0.628507,0.000000,0.000000,0.000000,173.266800,1.443750,0.000000,0.000000,329.380324,3.500000,72.181667,0.351862,0.204836,33.427843,1.866008,17.985917,0.000000,0.433569,12.713545,3743.732137,0.000000,0.000000,0.259674,0.183727,1.843703,0.000000
2026-04,2.100000,42.071412,0.000000,0.000000,5.823716,1.070882,0.000000,0.000000,0.000000,2.821170,0.000000,145.322390,0.705292,5.397222,0.000000,0.000000,0.000000,0.000000,14.759810,191.346441,2.733953,32.200000,25.914893,0.000000,8.192071,0.000000,29.169291,0.000000,0.000000,0.000000,0.000000,48.016103,0.000236,0.000000,0.000000,188.110759,0.403846,0.009946,0.000000,0.638349,2.470091,1.720771,0.073958,0.000000,0.000000,12.091118,0.579687,22.404464,18.907912,3.626777,41.528692,444.516736,0.000000,0.000000,0.029838,6.917095,0.000000,0.000000,0.377866,88.725324,0.000000,0.136561,1.485313,0.050337,51.118780,0.074447,0.034035,254.885784,0.000000,0.647020,30.467214,0.000000,0.151146,0.000000,0.000000,49.342377,665.983636,238.967311,0.000000,18.092308,0.000000,0.000000,8.016560,0.000000,0.453439,0.000000,0.045752,0.267072,0.000000,0.000000,0.000000,176.554917,16.420673,0.000000,0.000000,515.527008,0.000000,65.100000,0.063032,0.124214,18.019820,3.056303,1.883826,0.000000,0.397137,32.297034,7751.245793,0.000000,0.000000,0.541044,0.120298,0.947568,0.000000
2026-05,2.800000,23.479069,0.000000,0.000000,3.310816,2.068677,0.000000,0.000000,0.000000,4.082666,0.000000,301.486556,1.020666,3.722222,0.000000,0.000000,0.000000,0.000000,54.215416,189.253650,11.366366,6.392295,31.764621,0.000000,15.679264,0.000000,31.154420,0.000000,0.000000,0.000000,0.000000,19.825799,0.128333,0.000000,0.000000,215.872683,0.309649,0.023797,0.000000,0.433782,0.394410,1.958376,0.268127,0.000000,0.000000,220.628909,2.108732,22.433166,12.293371,4.235389,17.656235,413.182951,0.000000,0.003915,0.071390,6.190354,0.000000,0.000000,0.685983,114.228885,0.000000,0.496263,0.505312,0.066909,74.236131,0.145111,0.531243,234.002996,0.000000,0.486500,22.613092,0.000000,0.274393,0.000000,0.000000,45.805220,718.534789,161.394071,0.000000,29.507692,0.000000,0.508421,6.062216,0.000000,0.823180,0.000000,0.000000,0.232585,0.000000,0.000000,0.000000,112.401788,21.848326,0.000000,0.000000,446.877096,0.108894,914.900000,0.353276,0.743372,7.443938,1.992857,77.659312,0.000000,0.440605,51.395793,4157.471488,0.000000,0.000000,0.566279,0.061030,0.901350,0.000000
2026-06,3.500000,53.611603,0.000000,1.076250,3.368283,2.157652,0.000000,0.000000,0.000000,4.275661,0.000000,824.199793,1.068915,2.084444,0.000000,0.000000,0.000000,0.000000,31.969330,197.204467,9.309295,5.687500,25.318413,0.000000,11.054218,0.000000,31.432121,0.000000,0.000000,0.000000,0.000000,15.859291,0.000000,0.000000,0.000000,182.891572,0.647470,0.024344,0.000000,1.371083,2.437969,6.030161,0.106833,0.000000,0.000000,355.900369,2.327738,21.251229,18.557084,91.281867,9.702586,507.515632,0.000000,0.005892,0.073033,13.602884,0.000000,0.000000,0.568517,21.888959,0.000000,0.053200,0.000000,0.209884,63.795384,0.112024,2.926936,186.333215,0.000000,0.257421,24.843270,0.000000,0.227407,0.000000,0.000000,83.076446,810.453779,208.442693,0.000000,80.984615,0.000000,0.000000,8.938639,0.000000,0.682220,0.000000,0.085600,0.065812,0.000000,0.000000,0.000000,192.729114,30.620192,0.000000,0.000000,902.341261,0.628125,120.521739,26.289362,0.181001,49.231727,0.600000,3.870319,0.000000,1.213469,24.561516,2966.182263,0.000000,0.000000,0.777007,0.109878,1.334237,0.000000
2026-07,4.200000,24.571053,0.000000,0.402500,4.785191,1.030026,0.000000,0.000000,0.000000,7.733258,0.000000,742.502780,1.933315,14.888889,0.000000,0.000000,0.000000,0.000000,30.253002,267.445329,3.497897,1.575000,23.063089,0.000000,33.068652,0.000000,57.848548,0.000000,0.000000,0.000000,0.000000,34.585122,0.060000,0.000000,0.000000,174.091442,1.629798,0.064012,0.000000,0.342253,0.499734,2.137371,0.726215,0.000000,0.000000,13.525871,5.695947,17.296133,5.372030,365.307072,8.505808,677.403525,0.000000,0.119017,0.192037,7.816389,0.000000,0.000000,1.143975,21.956584,0.000000,0.357502,0.735000,0.039648,53.062816,0.235615,2.635894,236.294668,0.000000,0.055629,21.054099,0.000000,0.452457,0.000000,0.000000,39.416097,916.875919,143.049755,0.000000,19.384615,0.000000,0.000000,8.402180,0.000000,1.751252,0.000000,0.000000,0.325025,0.000000,0.000000,0.000000,256.854623,10.169712,0.000000,0.000000,508.340254,0.806250,99.551351,1.238032,0.346887,6.418028,3.655882,0.013368,0.000000,0.678339,13.780415,3113.383096,0.000000,0.000000,1.103074,0.458164,3.105713,0.000000
2026-08,4.900000,26.703798,0.000000,2.476250,2.454964,3.452244,0.000000,0.000000,0.000000,7.256771,0.000000,715.528216,1.814193,4.652778,0.000000,0.000000,0.000000,0.000000,51.681266,211.760590,9.911838,4.025000,22.820459,0.000000,24.520252,0.000000,48.673005,0.000000,0.000000,0.000000,0.000000,21.166721,0.115347,0.000000,0.000000,179.247929,0.337408,0.076951,0.000000,0.369153,1.275731,1.211690,0.137535,0.000000,0.000000,34.256661,3.995436,35.102889,5.147549,172.271488,12.479193,582.762463,0.000000,0.016721,0.230852,7.242336,0.000000,0.000000,0.978294,62.294928,0.000000,0.641347,0.627812,0.248949,67.285150,0.228901,0.665720,192.572738,0.000000,0.565006,26.577150,0.000000,0.255590,0.000000,0.000000,130.459360,588.732285,314.286914,0.000000,26.061538,0.000000,0.000000,13.127802,0.000000,0.886229,0.000000,0.142174,0.046918,0.000000,0.000000,0.000000,140.315939,3.736580,0.000000,0.000000,178.702124,1.181250,65.100000,0.714894,0.290747,16.854692,2.891176,0.401042,0.000000,0.588194,9.934264,3336.222351,0.000000,0.000000,0.944184,0.199216,0.493297,0.000000
2026-09,5.600000,24.594172,0.000000,0.700000,12.825240,2.122062,0.000000,0.000000,0.000000,9.715504,0.000000,1145.329500,2.428876,2.680000,0.000000,0.000000,0.000000,0.000000,43.312501,244.123710,8.008955,0.437500,16.835324,0.000000,438.374696,0.000000,33.929459,0.000000,0.000000,0.000000,0.000000,39.977280,0.801902,0.000000,0.000000,142.384198,0.746349,0.127844,0.000000,0.965273,0.342179,0.881108,0.152871,0.000000,0.000000,28.495857,1.287311,20.434651,5.288064,14.619866,8.146262,422.973716,0.000000,0.012753,0.383531,11.064650,0.000000,0.000000,2.131274,132.723902,0.000000,0.861955,0.444062,0.000953,79.930596,0.427077,2.376472,195.973092,0.000000,0.080627,24.641600,0.000000,0.962651,0.000000,0.000000,123.508364,652.654759,203.497083,0.000000,43.076923,0.000000,0.036842,9.092077,0.000000,2.613529,0.000000,0.035421,0.247767,0.000000,0.000000,0.000000,82.575482,2.121129,0.000000,0.000000,246.138649,0.468029,360.682609,2.169814,0.054249,11.143803,2.104202,4.543000,0.000000,11.186861,10.338118,2740.509588,0.000000,0.000000,0.257248,0.075259,1.626930,0.000000
2026-10,6.300000,35.838355,0.000000,4.947672,4.507537,5.478975,0.000000,0.000000,0.000000,10.159204,0.000000,1161.385651,2.539801,2.084444,0.000000,0.000000,0.000000,0.000000,32.983703,204.284931,9.163762,1.575000,21.804393,0.000000,8.221873,0.000000,65.096504,0.000000,0.000000,0.000000,0.000000,42.955545,0.000000,0.000000,0.000000,203.208509,0.402844,0.017395,0.000000,23.362987,1.310588,3.214140,0.183859,0.000000,0.000000,29.458948,1.389062,19.043638,5.617605,207.723042,9.922927,281.188402,0.000000,0.016668,0.052185,10.484040,0.000000,0.000000,0.702883,107.809605,0.000000,0.194109,0.000000,0.093376,59.783683,0.141273,2.287881,155.902455,0.000000,0.227925,21.038237,0.000000,0.257633,0.000000,0.000000,132.152496,679.899323,383.349059,0.000000,50.400000,0.000000,0.000000,8.561486,0.000000,0.702996,0.000000,0.062724,1.157554,0.000000,0.000000,0.000000,75.380291,3.531377,0.000000,0.000000,551.472677,0.162260,65.100000,0.113415,0.105299,1.648875,0.444118,1.334667,0.000000,1.399481,25.723608,3755.234863,0.000000,0.000000,0.566120,0.113183,9.053452,0.000000
