date,Unnamed: 0,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Jamaica,Jordan,Kenya,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Rwanda,Saudi Arabia,Senegal,Sierra Leone,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Zambia,Ireland
2025-06,0.000000,26.001555,0.000000,0.541550,0.234574,5.642589,10.036455,0.000000,0.000000,133.070135,0.000000,354.102345,0.024947,5.890054,0.000000,0.000000,0.000000,0.000000,81.694498,435.265775,56.641775,0.308000,33.782066,0.000000,28.596075,16.864723,61.260403,1.241013,0.000000,0.000000,0.754170,14.658181,0.208960,0.000000,0.000000,169.046340,1.711833,0.377085,0.381906,2.245154,2.514388,2.599205,0.051295,0.000000,0.000000,109.106612,6.699229,186.778794,7.375942,9.464759,61.767274,628.249569,0.000000,0.229356,0.700000,15.502349,0.000000,0.000000,2.315670,117.072115,0.000000,0.928900,0.760000,0.933333,245.195660,0.000000,0.536667,263.807816,0.000000,1.264305,43.986528,0.000000,0.220066,0.000000,0.000000,148.352309,738.074321,175.320605,0.000000,83.014615,0.000000,0.216125,7.480762,0.000000,0.000000,0.000000,0.284182,4.800395,2.274242,0.848545,0.000000,190.279646,13.754708,0.000000,0.000000,635.480424,0.380376,339.437449,2.884342,0.269980,5.774478,3.089686,2.966637,0.348077,1.323333,0.020278,4373.509119,0.000000,0.000000,0.003770,0.591553,1.625253,0.000000,0.656746
2025-07,0.700000,28.048373,0.000000,0.045061,1.130769,1.170440,0.000000,0.000000,0.000000,268.440041,0.000000,32.556844,0.026923,2.859102,0.000000,0.000000,0.000000,0.000000,77.283309,276.058087,21.657337,0.280000,32.729820,0.000000,15.746890,4.254542,74.946113,0.500877,0.000000,0.000000,0.445063,35.556635,0.018823,0.000000,0.000000,184.685538,0.339898,0.222532,0.219283,1.364115,0.574023,1.206100,0.112856,0.000000,0.000000,72.165385,0.315451,94.942452,125.474768,0.000000,92.834161,5038.011461,0.000000,0.000000,0.046667,32.489124,0.000000,0.000000,4.039695,1.245448,0.000000,0.521733,0.000000,1.073864,159.636710,0.000000,0.000000,237.011985,0.000000,1.270500,25.297242,0.000000,0.051223,0.000000,0.000000,242.373970,647.736261,231.870219,0.000000,7.511538,0.000000,0.142957,7.133920,0.000000,0.000000,0.000000,0.429202,0.000000,0.426189,0.289476,0.000000,178.922180,30.421151,0.000000,0.000000,447.106631,0.214734,210.716894,0.664700,0.185143,5.598282,2.688822,0.705806,0.380769,2.332500,0.501403,3398.355162,0.000000,0.000000,0.000000,0.120698,1.280342,0.000000,0.102107
2025-08,1.400000,33.260866,0.000000,1.411873,0.000000,1.764147,0.000000,0.000000,0.000000,167.260513,0.000000,24.945002,0.000000,1.985412,0.000000,0.000000,0.000000,0.000000,85.751290,383.113080,19.418961,0.011915,27.874114,0.000000,14.091259,6.421099,84.647573,0.083160,0.000000,0.000000,0.364571,16.168635,0.814510,0.000000,0.000000,213.645418,0.575763,0.183086,0.183247,1.077375,0.899184,1.573389,0.096404,0.000000,0.000000,76.807412,0.000000,113.965547,32.428209,58.307361,16.627537,1068.751513,0.000000,0.318182,0.311111,14.766289,0.000000,0.000000,1.119904,78.463226,0.000000,0.000467,0.300000,1.776515,130.095713,0.000000,0.000000,599.235115,0.000000,0.842600,40.916133,0.000000,0.509476,0.000000,0.000000,62.535583,511.639508,155.024281,0.000000,79.530486,0.000000,3.862401,13.111986,0.000000,0.000000,0.000000,0.198359,1.341897,0.462542,0.309411,0.000000,186.685274,16.905179,0.000000,0.000000,467.122302,0.368599,235.602971,0.600874,7.419181,8.863224,7.970353,0.371012,0.438462,1.740000,1.852650,4023.493183,0.000000,0.000000,0.040215,0.066754,0.666004,0.000000,0.050111
2025-09,2.100000,40.853275,0.000000,1.718123,0.000000,2.386088,0.000000,0.000000,0.000000,306.985469,0.000000,814.861248,0.110493,1.405062,0.000000,0.000000,0.000000,0.000000,88.536350,459.578957,6.996432,0.000000,30.479491,0.000000,149.171788,38.643393,95.545220,0.813003,0.000000,0.000000,0.191912,18.656810,0.035000,0.000000,0.000000,187.372009,0.448096,0.096325,0.094543,0.573759,1.781782,2.286595,0.191852,0.000000,0.000000,59.844933,0.019641,85.381578,82.447345,4.548735,20.903744,6674.912561,0.000000,0.000000,3.733333,11.732434,0.000000,0.000000,0.889638,119.563011,0.000000,0.000000,1.348667,0.588636,142.323453,0.000000,0.116667,355.168542,0.000000,0.605733,40.454938,0.000000,2.142776,0.000000,0.000000,8.651233,546.817984,219.744887,0.000000,20.353846,0.000000,4.513325,12.478772,0.000000,0.000000,0.000000,0.048823,17.541502,0.384602,0.389696,0.000000,166.380273,10.351996,0.000000,0.000000,467.335688,0.045652,272.439392,0.845797,0.808229,1.607966,2.618838,1.322054,0.290385,2.298333,5.831069,3750.878394,0.000000,0.000000,0.006284,0.189933,0.530178,0.000000,0.096725
2025-10,2.800000,42.100177,0.000000,1.926311,0.000000,2.290931,0.030435,0.000000,0.000000,219.523927,0.000000,68.038581,93.461170,5.694736,0.000000,0.000000,0.000000,0.000000,88.825642,436.517397,18.213600,0.000000,23.933976,0.000000,4.505648,16.985121,53.166154,0.580383,0.000000,0.000000,0.814593,16.820668,0.046667,0.000000,0.000000,179.912355,0.372703,0.406497,0.406500,2.448582,0.137586,6.300108,0.062222,0.000000,0.000000,40.228378,0.225322,99.587774,106.776854,0.000000,18.733766,4898.986680,0.000000,0.000000,0.171111,6.661258,0.000000,0.000000,0.741689,849.706918,0.000000,0.004200,0.000000,2.121212,192.366062,0.000000,0.933333,182.558411,0.000000,0.123200,25.717910,0.000000,1.505993,0.000000,0.000000,102.097416,402.604271,159.803519,0.000000,36.976154,0.000000,2.505216,7.363882,0.000000,0.000000,0.000000,0.086712,0.318182,0.558555,0.361665,0.000000,122.194353,4.759879,0.000000,0.000000,348.526154,0.114976,247.758714,1.420480,0.801832,5.559428,1.459443,0.808794,0.057692,2.185000,4.195841,4554.240203,0.000000,0.000000,0.088990,0.263376,0.770638,0.000000,0.143295
2025-11,3.500000,61.092882,0.000000,7.316081,0.808500,2.919225,0.525000,0.000000,0.000000,183.915086,0.000000,86.562903,0.211591,9.910516,0.000000,0.000000,0.000000,0.000000,79.490691,370.752586,6.908973,0.089362,29.486337,0.000000,12.699698,24.339013,75.299310,0.800196,0.000000,0.000000,0.799383,27.871226,0.019444,0.000000,0.000000,215.834484,0.396266,0.399569,0.399591,2.400363,1.313333,1.299519,0.010370,0.000000,0.000000,91.012885,0.443883,162.074174,34.151005,33.685663,20.212822,2568.831288,0.000000,0.302273,26.833333,11.276823,0.000000,0.000000,0.954068,10554.860681,0.000000,0.053800,2.593333,2.386364,198.418124,0.000000,0.182292,180.430237,0.000000,0.056467,19.961660,0.000000,2.691285,0.000000,0.000000,26.236235,1024.758237,139.987167,0.000000,91.107692,0.000000,0.248017,12.182692,0.000000,0.000000,0.000000,0.042197,0.415020,0.574363,0.115275,0.000000,206.534125,4.434996,0.000000,0.000000,511.243993,0.321839,601.907441,1.138177,0.494460,0.306849,9.201544,0.898519,0.123077,1.820000,0.000000,3121.918058,0.000000,0.000000,0.270197,0.217634,0.479980,0.000000,0.147047
2025-12,4.200000,34.598163,0.000000,0.393750,2.544231,3.094095,0.175000,0.000000,0.000000,332.981393,0.000000,86.562903,3.850795,7.377778,0.000000,0.000000,0.000000,0.000000,92.963147,393.930065,23.298217,0.017872,28.348634,0.000000,17.433232,32.849402,76.665287,0.830919,0.000000,0.000000,0.487649,11.806343,0.000000,0.000000,0.000000,217.064057,0.335200,0.244378,0.244424,1.466680,1.881494,3.648597,0.418499,0.000000,0.000000,317.292561,0.231643,126.343016,80.424080,34.363735,17.169026,1445.949879,0.000000,0.000000,0.000000,15.685364,0.000000,0.000000,0.863726,3421.868459,0.000000,0.953167,0.256667,1.795076,430.083270,0.000000,0.029167,257.422652,0.000000,0.149967,45.694430,0.000000,1.803405,0.000000,0.000000,58.823978,490.612114,136.054226,0.000000,21.807692,0.000000,1.568362,10.942050,0.000000,0.000000,0.000000,0.070853,1.341897,0.853060,0.475849,0.000000,239.375502,12.017576,0.000000,0.000000,610.207816,0.000000,399.105931,3.614642,0.587780,3.588597,4.551517,3.195372,0.086538,0.658333,4.804768,3376.257125,0.000000,0.000000,0.000000,0.434161,0.555233,0.000000,0.257506
2026-01,4.900000,36.078906,0.000000,0.000000,0.000000,10.055526,0.026923,0.000000,0.000000,1207.198620,0.000000,102.559125,0.963295,3.458766,0.000000,0.000000,0.000000,0.000000,85.106324,263.422615,15.368371,0.420000,28.417759,0.000000,56.983566,71.080690,96.275736,1.874607,0.000000,0.000000,0.368995,15.784182,0.077778,0.000000,0.000000,176.075781,0.400623,0.184251,0.183614,1.095811,0.224825,2.062097,0.046667,0.000000,0.000000,74.201634,0.137367,67.886806,11.667278,0.000000,16.304293,1901.510845,0.000000,0.043750,0.350000,10.954820,0.000000,0.000000,1.363237,181.212688,0.000000,0.486600,1.304333,0.604545,369.743575,0.000000,0.000000,189.504231,0.000000,1.102933,37.760517,0.000000,1.339151,0.000000,0.000000,14.228786,557.371419,161.433420,0.000000,29.319231,0.000000,1.359207,11.120524,0.000000,0.000000,0.000000,0.017157,3.818182,0.615510,0.480660,0.000000,158.960428,6.032664,0.000000,0.000000,611.580170,0.940097,403.708696,0.756105,0.392055,3.338090,5.838408,1.382625,0.025000,3.385833,0.421017,2804.482200,0.000000,0.000000,0.062837,2.142188,0.679757,0.000000,0.156806
2026-02,5.600000,25.736950,0.000000,3.018750,0.000000,9.652883,0.555435,0.000000,0.000000,1035.339882,0.000000,142.290783,19.213654,2.075985,0.000000,0.000000,0.000000,0.000000,75.043534,320.291209,6.609492,0.560000,35.637844,0.000000,31.808396,124.781211,74.242708,3.286632,0.000000,0.000000,0.132152,35.322355,0.206111,0.000000,0.000000,228.626532,0.440062,0.065891,0.066554,0.354916,0.221001,1.374159,5.218734,0.000000,0.000000,48.810130,0.881756,74.656176,92.328897,12.014110,25.460601,1299.127337,0.000000,0.000000,0.528889,10.997298,0.000000,0.000000,0.503516,83.445018,0.000000,0.878033,0.058333,0.588636,372.096695,0.000000,0.000000,213.752838,0.000000,1.766929,43.234004,0.000000,3.391102,0.000000,0.000000,44.574890,628.855978,197.760123,0.000000,48.461538,0.000000,0.548504,6.974911,0.000000,0.000000,0.000000,0.110599,1.964427,0.299062,0.126811,0.000000,209.210726,2.493266,0.000000,0.000000,599.731195,0.456493,404.601996,0.356279,0.941378,2.367584,3.940919,0.433810,0.111538,0.729167,0.738675,2931.786404,0.000000,0.000000,0.000000,0.026992,1.827900,0.000000,0.009443
2026-03,6.300000,28.409208,0.000000,0.748338,0.000000,8.433846,0.030435,0.000000,0.000000,1129.736452,0.000000,129.930192,0.272045,1.038355,0.000000,0.000000,0.000000,0.000000,79.932047,259.737503,23.827641,0.000000,87.829927,0.000000,110.677482,92.110147,72.455149,2.450232,0.000000,0.000000,0.399762,12.162924,0.050825,0.000000,0.000000,204.869008,0.629758,0.199881,0.207124,44.832048,0.768686,2.895280,1.208620,0.000000,0.000000,248.912691,0.280755,76.451646,16.767633,12.742108,27.758914,1845.520775,0.000000,0.642992,20.580000,9.068114,0.000000,0.000000,1.618099,2588.352366,0.000000,0.018667,2.116333,0.636364,429.211234,0.000000,0.000000,179.676011,0.000000,4.250033,94.360881,0.000000,0.963955,0.000000,0.000000,54.532283,710.318847,149.984011,0.000000,59.684211,0.000000,0.606707,8.877781,0.000000,0.000000,0.000000,0.106631,0.636364,0.197214,0.190711,0.000000,195.805331,18.707474,0.000000,0.000000,462.149982,0.253477,399.239323,1.175955,0.719353,4.057080,4.607316,0.655315,0.257692,1.281667,1.419257,2923.646937,0.000000,0.000000,0.005027,0.261749,2.367482,0.000000,0.043390
